#,Name,RA,Dec,RA (decimal),"RA (deg, dec)",Dec (decimal),Class,Hipparcos,Tycho,Average B/V mag,Teff, e_Teff,Log g,e_log g,log y,e_log y,Reference,E(B-V),e_E(B-V),AV,FUV (GALEX),e_FUV (GALEX),NUV (GALEX),e_NUV (GALEX),F (GSC),e_F (GSC),Bj (GSC),e_Bj (GSC),V (GSC),e_V (GSC),N (GSC),e_N (GSC),B (GSC),e_B (GSC),V (APASS),e_V (APASS),B (APASS),e_B (APASS),g (APASS),e_g (APASS),r (APASS),e_r (APASS),I (APASS),e_i (APASS),u (SDSS),e_u (SDSS),g (SDSS),e_g (SDSS),r (SDSS),e_r (SDSS),I (SDSS),e_i (SDSS),z (SDSS),e_z (SDSS),u (VST),e_u (VST),g (VST),e_g (VST),r (VST),e_r (VST),I (VST),e_i (VST),z (VST),e_z (VST),J (2MASS),e_J (2MASS),H (2MASS),e_H (2MASS),K (2MASS),e_K (2MASS),Y (UKIDSS),e_Y (UKIDSS),J (UKIDSS),e_J (UKIDSS),H (UKIDSS),e_H (UKIDSS),K (UKIDSS),e_K (UKIDSS),Z (VISTA),e_Z (VISTA),Y (VISTA),e_Y (VISTA),J (VISTA),e_J (VISTA),H (VISTA),e_H (VISTA),Ks (VISTA),e_Ks (VISTA),W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,PM_RA (SDSS),e_PM_RA (SDSS),PM_DEC (SDSS),e_PM_DEC (SDSS),PM_RA (UCAC4),e_PM_RA (UCAC4),PM_DEC (UCAC4),e_PM_DEC (UCAC4),PM_RA (PPMXL),e_PM_RA (PPMXL),PM_DEC (PPMXL),e_PM_DEC (PPMXL),PM_RA (USNO),e_PM_RA (USNO),PM_DEC (USNO),e_PM_DEC (USNO),PM_RA (APOP),e_PM_RA (APOP),PM_DEC (APOP),e_PM_DEC (APOP),PM_RA (URAT1),e_PM_RA (URAT1),PM_DEC (URAT1),e_PM_DEC (URAT1),PM_RA (SPM4),e_PM_RA (SPM4),PM_DEC (SPM4),e_PM_DEC (SPM4),CRTS DR2,SWASP,,,,,,,,,,,,,,,,
SDSSJ,205723.31-062611.9,20:57:23.31,-06:26:11.9,20.956475,314.347125,-6.436639,sdB,,,16.6,,,,,,,,0.0403,0.0008,0.125,16.047,0.021,16.412,0.011,16.530,0.350,16.750,0.340,,,16.370,0.350,16.500,0.310,,,,,,,,,,,16.721,0.007,16.534,0.004,16.628,0.005,16.694,0.005,16.755,0.011,,,,,,,,,,,16.127,0.087,15.834,0.167,15.601,0.266,,,,,,,,,,,16.214,0.009,16.045,0.010,15.828,0.017,15.798,0.028,15.725,0.059,15.962,,10.914,,8.203,,-10.0,3.0,-2.0,3.0,,,,,-6.8,5.0,-2.3,5.0,-12.0,4.0,4.0,1.0,-8.2,3.5,3.1,1.4,-36.7,6.1,-5.2,6.1,,,,,const,too faint,,,,,,,,,,,,,,,,
KPD,2055+3111,20:57:26.88,31:22:53.32,20.957467,314.362000,31.381478,sdO,,,14.1,,,,,,,,0.2104,0.0156,0.652,,,,,14.980,0.390,14.560,0.420,,,14.600,0.430,,,14.220,0.027,13.838,0.090,13.686,,14.413,0.082,14.754,0.084,,,,,,,,,,,,,,,,,,,,,14.681,0.040,14.745,0.068,14.966,0.133,,,,,,,,,,,,,,,,,,,14.766,0.041,15.213,0.101,12.982,,9.063,,,,,,8.4,1.9,-16.7,1.9,11.0,4.1,-17.4,4.1,6.0,6.0,-12.0,3.0,,,,,-14.7,5.7,-4.7,5.7,,,,,not covered,const,,,,,,,,,,,,,,,,
LSIV-14,116,20:57:38.86,-14:25:42.02,20.960794,314.411917,-14.428339,He-sdO,,,12.9,,,,,,,,0.0380,0.0026,0.118,11.881,0.003,13.651,0.005,13.200,0.430,12.960,0.310,,,13.560,0.430,12.510,0.420,12.956,0.020,12.794,0.037,12.781,0.070,13.185,0.024,13.463,0.026,13.075,0.003,13.042,0.003,13.453,0.004,13.919,0.004,13.994,0.005,,,,,,,,,,,13.638,0.027,13.799,0.031,13.898,0.051,,,,,,,,,,,13.497,0.002,13.643,0.002,,,13.864,0.005,13.967,0.031,14.116,0.055,12.520,,8.858,,2.0,2.0,-128.0,2.0,5.3,4.2,-131.5,2.0,8.2,1.8,-130.6,1.8,,4.0,-122.0,5.0,1.8,3.7,-121.4,4.2,9.7,5.2,-130.6,5.2,,,,,saturated,not covered,,,,,,,,,,,,,,,,
SDSSJ,205758.45+010817.6,20:57:58.45,01:08:17.6,20.966236,314.493542,1.138222,sdOB,,,16.9,,,,,,,,0.0707,0.0026,0.219,16.588,0.023,16.697,0.011,16.760,0.370,17.100,0.380,16.780,0.380,16.450,0.400,17.070,0.350,,,,,,,,,,,16.957,0.008,16.808,0.004,16.884,0.005,16.922,0.005,16.974,0.011,,,,,,,,,,,16.330,0.086,16.153,0.144,15.883,0.259,16.464,0.011,16.261,0.014,16.113,0.023,16.111,0.032,,,,,16.270,0.011,16.071,0.017,16.071,0.028,15.975,0.070,16.525,0.358,12.675,,8.995,,-17.0,2.0,-13.0,2.0,,,,,-19.7,4.4,-15.5,4.4,-18.0,,-10.0,2.0,,,,,5.2,6.5,-11.5,6.5,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,205835.61-051558.4,20:58:35.61,-05:15:58.4,20.976558,314.648375,-5.266222,sdB,,,17.7,,,,,,,,0.0427,0.0007,0.132,17.639,0.044,17.698,0.030,17.400,0.300,17.770,0.280,,,17.330,0.300,17.700,0.250,,,,,,,,,,,17.920,0.013,17.597,0.005,17.589,0.006,17.599,0.007,17.631,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,17.074,0.013,16.922,0.018,16.726,0.029,16.738,0.060,17.277,0.184,15.730,0.338,12.194,,8.767,,-4.0,3.0,-6.0,3.0,,,,,-6.7,6.3,-6.1,6.3,,,,,-6.3,1.8,-5.8,0.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,205954.78+010556.9,20:59:54.78,01:05:56.9,20.998550,314.978250,1.099139,sdB+X,,,16.7,,,,,,,,0.0639,0.0014,0.198,16.278,0.013,16.565,0.009,16.470,0.330,16.760,0.350,16.600,0.360,16.370,0.360,16.500,0.320,16.588,0.145,16.825,0.065,16.675,,16.645,,,,16.749,0.007,16.504,0.004,16.560,0.004,16.604,0.005,16.663,0.010,,,,,,,,,,,15.967,0.053,15.692,0.090,15.581,0.185,16.145,0.008,15.954,0.010,15.723,0.013,15.665,0.020,,,,,15.944,0.008,15.714,0.013,15.660,0.020,15.742,0.063,15.874,0.209,12.692,,9.014,,4.0,2.0,0.0,2.0,1.4,18.2,-3.3,18.2,4.6,4.2,-3.6,4.2,,,,,,,,,-5.3,6.5,4.5,6.5,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J21003-4257,21:00:23.04,-42:57:06.91,21.006400,315.096000,-42.951919,sdB,,,14.3,,,,,,,,0.0340,0.0019,0.105,13.415,0.006,13.695,0.005,14.450,0.420,14.220,0.290,,,14.600,0.420,,,14.372,0.040,14.240,0.020,14.187,0.015,14.634,0.056,15.051,0.122,,,,,,,,,,,,,,,,,,,,,14.971,0.040,14.955,0.065,15.294,0.167,,,,,,,,,,,,,14.951,0.004,,,15.136,0.014,15.304,0.044,15.381,0.136,12.767,,9.040,,,,,,13.0,2.6,-4.6,1.2,11.8,11.0,-10.6,11.0,,,,,15.4,10.1,-21.1,5.2,,,,,11.3,1.5,-7.6,1.4,const,const,,,,,,,,,,,,,,,,
GALEX,J21005+1452,21:00:31.71,14:52:13.76,21.008808,315.132125,14.870489,sdB+F5.5IV-V,,,13.7,34170,2470,5.79,0.24,-1.41,0.27,Nemeth12,0.0808,0.0023,0.251,13.601,0.006,13.706,0.005,13.060,0.430,13.590,0.430,13.090,0.300,12.890,0.440,15.450,0.420,13.215,0.033,13.436,0.016,13.262,0.016,13.156,0.049,13.189,0.047,,,,,,,,,,,,,,,,,,,,,12.479,0.023,12.269,0.030,12.282,0.024,,,,,,,,,,,,,,,,,,,12.237,0.024,12.269,0.025,12.011,,9.241,,,,,,-2.3,2.3,-13.3,2.8,0.1,1.2,-12.5,1.2,,,,,,,,,-2.4,6.3,-10.5,6.3,,,,,not covered,not covered,,,,,,,,,,,,,,,,
GALEX,J21020-1133,21:02:00.96,-11:33:00.61,21.033600,315.504000,-11.550169,sdOB,,,14.8,36000,,5.80,,-1.41,,Oestensenprep,0.0525,0.0039,0.163,13.998,0.008,14.028,0.006,14.970,0.420,14.910,0.420,,,15.260,0.430,14.900,0.410,14.887,0.063,14.752,0.047,14.726,0.005,15.071,0.099,15.683,0.244,,,,,,,,,,,,,,,,,,,,,15.462,0.051,15.513,0.122,14.914,,,,,,,,,,,,15.333,0.004,15.450,0.004,,,15.638,0.022,15.692,0.065,15.312,0.218,12.017,0.529,8.785,,,,,,5.2,5.3,-1.7,5.2,2.4,4.2,0.7,4.2,,,,,4.2,2.6,4.9,5.2,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
PG,2059+013,21:02:19.30,01:32:15.91,21.038694,315.580417,1.537753,sdB,,,14.9,32400,1000,5.80,0.15,-1.70,0.10,Saffer94,0.1024,0.0012,0.317,14.073,0.005,14.450,0.007,15.090,0.350,14.980,0.360,15.330,0.340,15.170,0.360,14.970,0.370,14.974,0.044,14.913,0.012,14.840,0.028,15.225,0.060,15.459,0.299,14.575,0.004,14.774,0.003,15.184,0.003,15.493,0.004,15.760,0.006,,,,,,,,,,,15.584,0.044,15.428,0.080,15.437,0.160,,,,,,,,,,,,,,,,,,,15.909,0.069,16.056,0.235,12.393,,9.156,,1.0,2.0,-2.0,2.0,1.7,4.5,1.6,4.8,1.9,4.1,-4.3,4.1,,,,,,,,,5.5,6.5,-1.0,6.5,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J21023-1443,21:02:22.54,-14:43:29.80,21.039594,315.593917,-14.724944,sdB,,,14.7,,,,,,,,0.0408,0.0011,0.127,13.753,0.007,13.890,0.005,15.030,0.380,14.880,0.270,,,15.140,0.390,14.470,0.420,14.822,0.024,14.642,0.049,14.614,0.056,15.024,0.066,15.289,0.188,,,,,,,,,,,,,,,,,,,,,15.366,0.040,15.375,0.094,15.365,0.165,,,,,,,,,,,,,,,,,,,15.752,0.076,15.632,0.254,12.011,,8.832,,,,,,-2.9,2.3,-2.0,2.3,0.7,5.0,-4.2,5.0,,,,,-2.8,4.9,0.0,1.3,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
HS,2100+0650,21:02:47.65,07:02:28.52,21.046569,315.698542,7.041256,sdO,,,16.7,,,,,,,,0.0519,0.0007,0.161,15.311,0.013,15.761,0.012,17.140,0.420,16.830,0.430,16.780,0.300,17.370,0.430,16.680,0.430,,,,,,,,,,,16.300,0.006,16.686,0.004,17.189,0.005,17.528,0.007,17.800,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,2.0,-10.0,2.0,,,,,-4.1,5.3,-11.0,5.3,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
HS,2100+1710,21:03:05.34,17:22:34.74,21.051483,315.772250,17.376317,sdOB,,,15.1,34100,900,6.05,0.10,-1.30,0.20,Edelmann03,0.0746,0.0018,0.231,14.506,0.013,14.561,0.009,15.400,0.430,15.290,0.430,15.570,0.290,15.690,0.440,15.180,0.420,14.981,,15.189,,15.000,0.069,15.106,0.039,,,14.823,0.005,15.059,0.004,15.510,0.005,15.841,0.005,16.120,0.008,,,,,,,,,,,15.866,0.066,16.069,0.172,15.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,4.0,-4.0,4.0,36.9,4.2,-10.3,4.0,22.0,4.8,-5.3,4.8,,,,,,,,,,,,,,,,,not covered,too faint,,,,,,,,,,,,,,,,
SDSSJ,210328.76-001503.0,21:03:28.76,-00:15:03.0,21.057989,315.869833,0.250833,sdB,,,,,,,,,,,0.0681,0.0016,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J21035+3035,21:03:32.52,30:35:39.25,21.059033,315.885500,30.594236,sdB,,1,12.8,33845,,5.98,,-1.80,,Oestensenprep,0.2001,0.0072,0.620,12.734,0.006,12.593,0.003,,,,,12.480,0.180,,,12.930,0.220,12.970,0.025,12.789,0.086,12.769,0.069,13.167,0.047,13.475,0.043,,,,,,,,,,,,,,,,,,,,,13.511,0.026,13.635,0.035,13.640,0.044,,,,,,,,,,,,,,,,,,,13.700,0.028,13.821,0.042,12.394,,9.282,,,,,,15.2,2.0,-1.6,1.4,14.4,1.7,-1.1,1.6,8.0,,,,,,,,15.3,5.3,-9.3,5.3,,,,,not covered,const,,,,,,,,,,,,,,,,
SDSSJ,210454.89+110645.5,21:04:54.89,11:06:45.5,21.081914,316.228708,11.112639,sdOB,,,17.2,37800,700,5.63,0.10,-2.40,0.20,Geier15,0.0785,0.0017,0.243,16.261,0.040,16.673,0.017,17.230,0.420,17.220,0.420,17.340,0.320,17.510,0.450,17.120,0.420,,,,,,,,,,,17.002,0.008,17.146,0.004,17.414,0.005,17.569,0.007,17.669,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,-3.0,3.0,,,,,0.4,5.4,-5.1,5.4,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,2102+037,21:05:07.06,03:54:47.04,21.085294,316.279417,3.913067,sdO+,,,15.5,,,,,,,,0.0966,0.0041,0.299,,,15.026,0.007,15.120,0.420,15.580,0.430,14.760,0.370,14.420,0.420,15.080,0.430,15.711,0.061,15.801,0.148,15.698,0.014,15.429,0.155,15.182,0.075,15.436,0.004,15.847,0.003,16.316,0.004,16.784,0.005,17.116,0.013,,,,,,,,,,,13.798,0.030,13.147,0.033,12.999,0.032,,,,,,,,,,,,,,,,,,,12.948,0.025,12.998,0.033,12.428,,9.106,,0.0,3.0,1.0,3.0,38.3,5.8,-3.9,6.0,53.3,5.2,-10.7,5.2,,,,,,,,,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
GALEX,J21057-3249,21:05:47.63,-32:49:51.90,21.096564,316.448458,-32.831083,sdO,,,13.3,,,,,,,,0.0906,0.0011,0.281,11.988,0.003,12.734,0.002,13.550,0.430,13.280,0.340,,,13.760,0.430,,,13.600,0.192,13.209,0.040,13.254,0.028,13.837,0.153,14.178,0.044,,,,,,,,,,,,,,,,,,,,,14.175,0.026,14.323,0.043,14.381,0.075,,,,,,,,,,,,,,,,,,,14.490,0.046,14.568,0.085,12.207,,9.162,,,,,,1.6,2.1,-22.2,1.7,-3.8,2.4,-23.2,2.4,,,,,0.5,3.9,-34.1,3.1,,,,,3.6,2.2,-22.5,2.0,const,const,,,,,,,,,,,,,,,,
SDSSJ,210604.96+104215.9,21:06:04.96,10:42:15.9,21.101378,316.520667,10.704417,sdO,,,18.2,,,,,,,,0.0736,0.0048,0.228,16.915,0.019,17.397,0.013,18.500,0.430,18.270,0.420,18.440,0.360,18.660,0.470,18.360,0.420,,,,,,,,,,,17.800,0.011,18.162,0.006,18.655,0.009,18.931,0.014,19.293,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,3.0,-8.0,3.0,,,,,2.0,6.3,-9.1,6.3,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J21061-3239,21:06:10.13,-32:39:05.27,21.102814,316.542208,-32.651464,sdB,,,14.2,,,,,,,,0.0984,0.0014,0.305,13.855,0.008,14.175,0.005,14.400,0.430,14.260,0.340,,,14.440,0.430,13.950,0.470,14.333,0.087,14.242,0.036,14.204,,14.457,,14.708,,,,,,,,,,,,,,,,,,,,,,14.699,0.029,14.758,0.058,14.672,0.072,,,,,,,,,,,,,,,,,,,14.884,0.038,15.142,0.108,12.434,,9.197,,,,,,13.9,2.1,-4.8,3.4,17.7,9.3,-7.0,9.3,,,,,24.1,1.9,-14.8,1.7,,,,,12.6,2.6,-4.4,2.3,const,const,,,,,,,,,,,,,,,,
KPD,2104+3407,21:06:15.67,34:19:14.72,21.104353,316.565292,34.320756,sdO,,,16.0,,,,,,,,0.2050,0.0093,0.636,,,15.293,0.011,16.100,0.430,16.010,0.430,16.110,0.300,16.120,0.440,15.750,0.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.357,0.094,16.403,0.241,15.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.4,7.5,8.3,-14.6,4.6,1.8,4.6,-10.0,1.0,2.0,1.0,,,,,-1.1,5.4,-6.5,5.4,,,,,not covered,too faint,,,,,,,,,,,,,,,,
BPS,CS22937-33,21:07:31.66,-40:05:47.93,21.125461,316.881917,-40.096647,sdB,,1,12.8,32400,1100,5.63,0.12,-1.58,0.10,Geier13,0.0324,0.0017,0.101,13.183,0.006,13.234,0.003,,,,,12.810,0.210,,,12.590,0.170,13.065,0.030,12.844,0.036,12.859,0.034,13.319,0.030,13.697,0.043,,,,,,,,,,,,,,,,,,,,,13.696,0.024,13.838,0.035,13.968,0.049,,,,,,,,,,,,,13.725,0.002,,,13.933,0.006,14.034,0.030,14.100,0.047,12.597,,9.086,0.471,,,,,6.5,0.9,-3.2,1.4,11.1,2.4,-6.3,2.4,12.0,,-8.0,,22.4,6.6,-10.9,4.2,,,,,12.8,1.7,-6.5,1.5,const,const,,,,,,,,,,,,,,,,
BPS,CS30492-40,21:07:35.35,-38:06:42.01,21.126486,316.897292,-38.111669,sdB,,,14.7,,,,,,,,0.0366,0.0012,0.114,13.704,0.006,14.048,0.004,14.960,0.420,14.640,0.290,,,15.070,0.440,,,14.776,0.045,14.593,0.043,14.636,0.008,15.036,0.024,,,,,,,,,,,,,,,,,,,,,,,15.500,0.046,15.531,0.101,15.441,0.184,,,,,,,,,,,,,,,,,,,16.099,0.078,16.101,0.245,12.203,,9.101,,,,,,-8.9,1.9,-27.0,1.9,-4.6,11.5,-20.1,11.5,-4.0,9.0,-20.0,5.0,4.7,3.3,-36.0,9.5,,,,,-5.7,3.4,-22.0,3.0,const,var irregular,,,,,,,,,,,,,,,,
GALEX,J21077-1318,21:07:42.34,-13:18:21.40,21.128428,316.926417,-13.305944,He-sdO?,,,13.6,85000,,4.80,,1.05,,Oestensenprep,0.0528,0.0030,0.164,12.138,0.003,13.079,0.003,13.940,0.430,13.640,0.310,,,13.990,0.430,13.460,0.430,13.695,0.029,13.532,0.028,13.517,0.040,13.944,0.041,14.264,0.101,,,,,,,,,,,,,,,,,,,,,14.339,0.027,14.399,0.049,14.402,0.071,,,,,,,,,,,14.191,0.002,14.347,0.003,,,14.566,0.010,14.647,0.040,14.733,0.198,11.231,,7.556,,,,,,2.4,3.0,-5.9,1.7,2.0,2.9,-7.6,2.9,,,,,2.7,2.5,-6.7,2.9,2.6,5.5,-13.1,5.5,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,210823.60+010155.3,21:08:23.60,01:01:55.3,21.139889,317.098333,1.032028,sdB,,,15.9,,,,,,,,0.0982,0.0018,0.304,15.604,0.004,15.704,0.003,16.020,0.360,15.890,0.370,16.160,0.290,16.180,0.370,15.510,0.420,15.952,0.075,15.974,0.068,15.861,0.027,16.139,0.072,,,15.773,0.005,15.752,0.004,16.149,0.005,16.417,0.005,16.665,0.009,,,,,,,,,,,16.257,0.121,15.957,,17.086,,16.359,0.010,16.357,0.016,16.490,0.033,16.502,0.044,,,,,16.379,0.012,16.477,0.026,16.518,0.045,16.437,0.090,16.207,0.260,12.474,,8.923,,-14.0,2.0,-3.0,2.0,-0.5,6.0,2.7,7.1,-12.5,4.7,-0.5,4.7,-12.0,3.0,6.0,3.0,,,,,4.2,6.8,11.4,6.8,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J21083+2448,21:08:23.82,24:48:39.18,21.139950,317.099250,24.810883,sdB,,,14.2,,,,,,,,0.1211,0.0025,0.375,13.831,0.009,14.068,0.005,14.150,0.420,14.240,0.420,,,14.790,0.440,,,14.281,0.061,14.139,0.041,14.073,0.010,14.438,0.012,14.704,0.045,,,,,,,,,,,,,,,,,,,,,14.646,0.035,14.720,0.052,14.745,0.113,,,,,,,,,,,,,,,,,,,15.041,0.041,15.236,0.110,12.775,,9.265,,,,,,-4.2,2.0,-7.3,2.3,-0.8,2.5,-4.7,2.5,,,,,,,,,-1.5,5.5,-6.9,5.5,,,,,not covered,const,,,,,,,,,,,,,,,,
GALEX,J21088-2434,21:08:52.37,-24:34:16.19,21.147881,317.218208,-24.571164,sdB,,,14.4,,,,,,,,0.0475,0.0009,0.147,13.372,0.007,14.167,0.006,14.500,0.420,14.380,0.410,,,14.780,0.420,14.530,0.440,14.519,0.097,14.331,0.030,14.323,0.028,14.711,0.070,15.130,,,,,,,,,,,,,,,,,,,,,,15.096,0.040,15.229,0.074,15.462,0.174,,,,,,,,,,,,,,,,,,,15.405,0.049,15.476,0.157,12.263,,9.003,,,,,,-2.5,6.8,-11.6,2.4,-5.4,4.6,-15.0,4.6,-12.0,3.0,-6.0,6.0,0.6,1.7,-9.3,1.5,,,,,1.0,2.2,-12.6,2.2,const,const,,,,,,,,,,,,,,,,
GALEX,J21106+1425,21:10:41.40,14:25:58.94,21.178167,317.672500,14.433039,He-sdO,,,14.1,44470,650,6.23,0.18,1.15,0.13,Nemeth12,0.0912,0.0021,0.283,13.349,0.008,13.431,0.005,14.320,0.430,14.190,0.430,14.030,0.420,14.350,0.440,13.850,0.420,14.221,0.034,14.035,0.031,14.038,0.033,14.421,0.048,14.887,0.162,,,,,,,,,,,,,,,,,,,,,14.741,0.041,14.905,0.081,15.073,0.156,,,,,,,,,,,,,,,,,,,15.101,0.041,15.414,0.138,12.689,,8.939,,,,,,-7.3,1.5,-10.6,1.8,-2.1,1.0,-10.7,1.0,,,,,,,,,-1.2,5.5,1.6,5.5,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,211045.16+000142.0,21:10:45.16,00:01:42.0,21.179211,317.688167,0.028333,sdOB,,,16.8,38370,,5.30,,-2.32,,Nemethprep,0.1066,0.0036,0.330,15.979,0.006,16.259,0.011,16.920,0.440,16.890,0.420,,,17.260,0.430,16.550,0.420,17.111,,16.798,,16.821,0.071,,,,,16.547,0.007,16.787,0.005,17.238,0.006,17.545,0.007,17.860,0.020,,,,,,,,,,,,,,,,,17.548,0.023,17.642,0.042,17.905,0.117,17.836,0.144,,,,,17.555,0.030,17.615,0.085,17.706,0.120,,,,,,,,,3.0,3.0,-8.0,3.0,,,,,2.1,5.6,-4.0,5.6,,,,,1.9,1.7,-3.4,1.1,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
BPS,CS22937-36,21:10:54.68,-40:35:07.19,21.181856,317.727833,-40.585331,sdB,,,15.2,,,,,,,,0.0312,0.0006,0.097,,,,,15.330,0.390,15.250,0.250,,,15.240,0.410,,,15.278,0.036,15.202,0.029,15.164,0.061,15.464,0.046,,,,,,,,,,,,,,,,,,,,,,,15.194,0.051,14.926,0.075,14.863,0.102,,,,,,,,,,,,,15.167,0.003,,,14.968,0.011,15.000,0.039,15.072,0.099,12.832,,8.674,,,,,,-8.1,2.4,-2.6,2.4,-10.6,10.0,-4.0,10.0,-12.0,2.0,2.0,2.0,2.0,7.8,-6.3,9.0,,,,,-3.5,3.8,-0.7,3.4,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,211104.97+091042.9,21:11:04.97,09:10:42.9,21.184714,317.770708,9.178583,sdB,,,17.5,,,,,,,,0.0933,0.0016,0.289,17.137,0.052,17.353,0.037,17.850,0.430,17.560,0.420,,,18.150,0.460,,,17.574,,17.576,0.184,,,,,,,17.371,0.010,17.451,0.005,17.824,0.007,18.115,0.009,18.348,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,2.0,-7.0,2.0,,,,,-6.1,5.4,-8.8,5.4,-8.0,2.0,-2.0,4.0,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J21113-2348,21:11:20.93,-23:48:14.74,21.189147,317.837208,-23.804094,He-sdOB,,,14.3,,,,,,,,0.0536,0.0017,0.166,13.367,0.007,13.685,0.005,14.410,0.420,14.330,0.270,,,14.630,0.420,14.520,0.440,14.391,0.041,14.241,0.020,14.237,0.021,14.633,0.045,14.984,0.147,,,,,,,,,,,,,,,,,,,,,15.038,0.045,15.192,0.087,15.336,0.177,,,,,,,,,,,,,,,,,,,15.334,0.049,15.437,0.193,12.240,,8.377,,,,,,-3.2,1.3,0.2,1.5,-5.9,4.5,-4.6,4.5,-10.0,2.0,4.0,2.0,-6.7,1.8,0.7,0.9,,,,,-4.2,1.8,0.1,1.8,const,const,,,,,,,,,,,,,,,,
BPS,CS22937-22,21:11:43.62,-38:15:07.58,21.195450,317.931750,-38.252106,sdB,,,15.1,,,,,,,,0.0301,0.0007,0.093,13.594,0.005,13.933,0.004,15.500,0.400,15.080,0.250,,,15.780,0.420,,,15.213,0.030,15.043,0.049,15.050,0.029,15.530,0.042,15.843,,,,,,,,,,,,,,,,,,,,,,15.955,0.070,16.146,0.190,17.059,,,,,,,,,,,,,,,,,,,,16.606,0.103,16.900,0.439,12.389,,9.291,,,,,,-11.8,2.1,-1.1,2.1,-0.3,13.5,-13.7,13.5,,,,,7.0,0.2,-17.1,6.7,,,,,-21.2,2.8,13.4,2.5,const,too faint,,,,,,,,,,,,,,,,
KPD,2109+4401,21:11:47.71,44:13:51.57,21.196586,317.948792,44.230992,sdBV,,,13.2,31800,,5.79,,-2.23,,Oestensen10,0.6581,0.0116,2.040,,,,,12.670,0.250,13.020,0.430,13.500,0.330,13.520,0.190,13.450,0.450,13.301,0.057,13.109,0.068,13.098,0.061,13.482,0.054,13.718,0.206,,,,,,,,,,,,,,,,,,,,,13.882,0.027,13.982,0.037,14.026,0.073,,,,,,,,,,,,,,,,,,,14.129,0.043,14.102,0.061,12.359,0.265,9.525,0.508,,,,,-11.2,4.6,-19.7,4.9,-23.1,1.6,-22.0,1.6,-26.0,10.0,-22.0,1.0,,,,,,,,,,,,,not covered,const,,,,,,,,,,,,,,,,
SDSSJ,211151.85+111937.6,21:11:51.85,11:19:37.6,21.197736,317.966042,11.327111,sdOB,,,16.4,,,,,,,,0.0882,0.0018,0.274,15.591,0.014,15.774,0.011,,,16.160,0.420,,,,,,,16.577,0.011,16.546,0.221,16.430,,16.747,,,,16.103,0.006,16.317,0.004,16.723,0.004,16.983,0.005,17.174,0.013,,,,,,,,,,,16.509,0.127,15.857,,16.546,,,,,,,,,,,,,,,,,,,,16.638,0.120,16.115,0.250,12.308,,9.177,,-3.0,3.0,-6.0,3.0,,,,,1.9,4.9,-6.6,4.9,,,,,,,,,-6.3,6.6,-27.5,6.6,,,,,const,too faint,,,,,,,,,,,,,,,,
GALEX,J21122-3820,21:12:17.51,-38:20:53.33,21.204864,318.072958,-38.348147,sdB+X,,,13.9,,,,,,,,0.0306,0.0010,0.095,13.468,0.005,13.610,0.003,13.620,0.380,13.930,0.240,,,13.570,0.400,,,13.878,0.031,13.966,0.026,13.878,0.011,13.887,0.008,13.942,0.036,,,,,,,,,,,,,,,,,,,,,13.340,0.023,13.131,0.027,13.098,0.030,,,,,,,,,,,,,,,,,,,13.101,0.025,13.083,0.031,11.652,0.199,8.618,,,,,,-13.5,1.7,-10.1,1.7,-12.0,9.7,-16.0,9.7,-14.0,2.0,-8.0,8.0,-2.5,7.3,-20.8,10.0,,,,,-12.1,3.2,-9.8,2.8,not covered,const,,,,,,,,,,,,,,,,
